[12/May/2023:08:42:49 +0000] - 304 304 - GET http jenkins-dsk.local "/images/build-status/build-status-sprite.svg" [Client 172.25.0.1] [Length 0] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/"
[12/May/2023:08:42:49 +0000] - 200 200 - GET http jenkins-dsk.local "/static/3d816523/images/build-status/build-status-sprite.svg" [Client 172.25.0.1] [Length 3647] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/"
[12/May/2023:08:42:49 +0000] - 304 304 - GET http jenkins-dsk.local "/images/svgs/star-large.svg" [Client 172.25.0.1] [Length 0] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/adjuncts/3d816523/hudson/plugins/favorite/assets.css"
[12/May/2023:08:42:49 +0000] - 200 200 - GET http jenkins-dsk.local "/static/3d816523/favicon.ico" [Client 172.25.0.1] [Length 17542] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/"
[12/May/2023:08:42:54 +0000] - 200 200 - POST http jenkins-dsk.local "/ajaxBuildQueue" [Client 172.25.0.1] [Length 445] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/"
[12/May/2023:08:42:54 +0000] - 200 200 - POST http jenkins-dsk.local "/ajaxExecutors" [Client 172.25.0.1] [Length 456] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/"
[12/May/2023:08:42:59 +0000] - 200 200 - POST http jenkins-dsk.local "/ajaxBuildQueue" [Client 172.25.0.1] [Length 445] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/"
[12/May/2023:08:42:59 +0000] - 200 200 - POST http jenkins-dsk.local "/ajaxExecutors" [Client 172.25.0.1] [Length 456] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/"
[12/May/2023:08:42:59 +0000] - 200 200 - GET http jenkins-dsk.local "/job/test/" [Client 172.25.0.1] [Length 9214] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/"
[12/May/2023:08:42:59 +0000] - 200 200 - GET http jenkins-dsk.local "/adjuncts/3d816523/lib/layout/confirmationLink/adjunct.js" [Client 172.25.0.1] [Length 308] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/job/test/"
[12/May/2023:08:42:59 +0000] - 200 200 - GET http jenkins-dsk.local "/static/3d816523/jsbundles/filter-build-history.js" [Client 172.25.0.1] [Length 6001] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/job/test/"
[12/May/2023:08:42:59 +0000] - 200 200 - GET http jenkins-dsk.local "/adjuncts/3d816523/org/jenkinsci/pipeline/stageview_adjunct.js" [Client 172.25.0.1] [Length 4112] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/job/test/"
