[12/May/2023:12:21:49 +0000] - 200 200 - GET http nexus3.local "/static/rapture/resources/images/form/trigger.png" [Client 172.25.0.1] [Length 720] [Gzip -] [Sent-to nexus3] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nexus3.local/static/rapture/resources/baseapp-prod_1.css?_v=3.53.0-01&_e=OSS&_c=2023-05-02-2002-47628"
[12/May/2023:12:21:49 +0000] - 200 200 - GET http nexus3.local "/static/rapture/resources/images/grid/sort_asc.png" [Client 172.25.0.1] [Length 577] [Gzip -] [Sent-to nexus3] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nexus3.local/static/rapture/resources/baseapp-prod_1.css?_v=3.53.0-01&_e=OSS&_c=2023-05-02-2002-47628"
[12/May/2023:12:21:49 +0000] - 200 200 - GET http nexus3.local "/static/rapture/resources/icons/x16/box_front.png?_v=3.53.0-01&_e=OSS&_c=2023-05-02-2002-47628" [Client 172.25.0.1] [Length 476] [Gzip -] [Sent-to nexus3] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nexus3.local/"
[12/May/2023:12:21:49 +0000] - 200 200 - GET http nexus3.local "/static/rapture/resources/icons/x16/page_white_stack.png?_v=3.53.0-01&_e=OSS&_c=2023-05-02-2002-47628" [Client 172.25.0.1] [Length 541] [Gzip -] [Sent-to nexus3] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nexus3.local/"
[12/May/2023:12:21:49 +0000] - 200 200 - GET http nexus3.local "/static/rapture/resources/icons/x16/folder.png?_v=3.53.0-01&_e=OSS&_c=2023-05-02-2002-47628" [Client 172.25.0.1] [Length 632] [Gzip -] [Sent-to nexus3] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nexus3.local/"
[12/May/2023:12:21:49 +0000] - 200 200 - GET http nexus3.local "/static/rapture/resources/images/shared/icon-error.png?_v=3.53.0-01&_e=OSS&_c=2023-05-02-2002-47628" [Client 172.25.0.1] [Length 2055] [Gzip -] [Sent-to nexus3] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nexus3.local/"
[12/May/2023:12:21:49 +0000] - 200 200 - GET http nexus3.local "/static/rapture/resources/images/shared/icon-info.png?_v=3.53.0-01&_e=OSS&_c=2023-05-02-2002-47628" [Client 172.25.0.1] [Length 874] [Gzip -] [Sent-to nexus3] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nexus3.local/"
[12/May/2023:12:21:49 +0000] - 200 200 - GET http nexus3.local "/static/rapture/resources/images/shared/icon-question.png?_v=3.53.0-01&_e=OSS&_c=2023-05-02-2002-47628" [Client 172.25.0.1] [Length 1335] [Gzip -] [Sent-to nexus3] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nexus3.local/"
[12/May/2023:12:21:49 +0000] - 200 200 - GET http nexus3.local "/static/rapture/resources/images/shared/icon-warning.png?_v=3.53.0-01&_e=OSS&_c=2023-05-02-2002-47628" [Client 172.25.0.1] [Length 1718] [Gzip -] [Sent-to nexus3] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nexus3.local/"
[12/May/2023:12:21:49 +0000] - 200 200 - GET http nexus3.local "/static/rapture/resources/images/lock-graphic-01.svg" [Client 172.25.0.1] [Length 3417] [Gzip -] [Sent-to nexus3] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nexus3.local/"
