[12/May/2023:08:30:05 +0000] - 200 200 - GET http nginxproxymanager.local "/api/nginx/proxy-hosts?expand=owner,access_list,certificate" [Client 172.25.0.1] [Length 518] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/nginx/proxy"
[12/May/2023:08:30:29 +0000] - 200 200 - GET http nginxproxymanager.local "/api/nginx/certificates" [Client 172.25.0.1] [Length 2] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/nginx/proxy"
[12/May/2023:08:30:29 +0000] - 200 200 - GET http nginxproxymanager.local "/api/nginx/access-lists?expand=items,clients" [Client 172.25.0.1] [Length 2] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/nginx/proxy"
[12/May/2023:08:30:33 +0000] - 200 200 - GET http nginxproxymanager.local "/api/" [Client 172.25.0.1] [Length 61] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/nginx/proxy"
[12/May/2023:08:30:33 +0000] - 200 200 - GET http nginxproxymanager.local "/api/users/me?expand=permissions" [Client 172.25.0.1] [Length 512] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/nginx/proxy"
[12/May/2023:08:31:03 +0000] - 200 200 - GET http nginxproxymanager.local "/api/" [Client 172.25.0.1] [Length 61] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/nginx/proxy"
[12/May/2023:08:31:03 +0000] - 200 200 - GET http nginxproxymanager.local "/api/users/me?expand=permissions" [Client 172.25.0.1] [Length 512] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/nginx/proxy"
[12/May/2023:08:31:26 +0000] - 201 201 - POST http nginxproxymanager.local "/api/nginx/proxy-hosts" [Client 172.25.0.1] [Length 832] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/nginx/proxy"
[12/May/2023:08:31:26 +0000] - 200 200 - GET http nginxproxymanager.local "/api/nginx/proxy-hosts?expand=owner,access_list,certificate" [Client 172.25.0.1] [Length 550] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/nginx/proxy"
[12/May/2023:08:31:34 +0000] - 200 200 - GET http nginxproxymanager.local "/api/" [Client 172.25.0.1] [Length 61] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/nginx/proxy"
[12/May/2023:08:31:34 +0000] - 200 200 - GET http nginxproxymanager.local "/api/users/me?expand=permissions" [Client 172.25.0.1] [Length 512] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/nginx/proxy"
[12/May/2023:08:32:05 +0000] - 200 200 - GET http nginxproxymanager.local "/api/" [Client 172.25.0.1] [Length 61] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/nginx/proxy"
[12/May/2023:08:32:05 +0000] - 200 200 - GET http nginxproxymanager.local "/api/users/me?expand=permissions" [Client 172.25.0.1] [Length 512] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/nginx/proxy"
[12/May/2023:08:32:36 +0000] - 200 200 - GET http nginxproxymanager.local "/api/" [Client 172.25.0.1] [Length 61] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/nginx/proxy"
[12/May/2023:08:32:36 +0000] - 200 200 - GET http nginxproxymanager.local "/api/users/me?expand=permissions" [Client 172.25.0.1] [Length 512] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/nginx/proxy"
[12/May/2023:08:33:07 +0000] - 200 200 - GET http nginxproxymanager.local "/api/" [Client 172.25.0.1] [Length 61] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/nginx/proxy"
[12/May/2023:08:33:07 +0000] - 200 200 - GET http nginxproxymanager.local "/api/users/me?expand=permissions" [Client 172.25.0.1] [Length 512] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/nginx/proxy"
[12/May/2023:08:33:38 +0000] - 200 200 - GET http nginxproxymanager.local "/api/" [Client 172.25.0.1] [Length 61] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/nginx/proxy"
[12/May/2023:08:33:38 +0000] - 200 200 - GET http nginxproxymanager.local "/api/users/me?expand=permissions" [Client 172.25.0.1] [Length 512] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/nginx/proxy"
[12/May/2023:08:34:09 +0000] - 200 200 - GET http nginxproxymanager.local "/api/" [Client 172.25.0.1] [Length 61] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/nginx/proxy"
[12/May/2023:08:34:09 +0000] - 200 200 - GET http nginxproxymanager.local "/api/users/me?expand=permissions" [Client 172.25.0.1] [Length 512] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/nginx/proxy"
[12/May/2023:08:34:40 +0000] - 200 200 - GET http nginxproxymanager.local "/api/" [Client 172.25.0.1] [Length 61] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/nginx/proxy"
[12/May/2023:08:34:40 +0000] - 200 200 - GET http nginxproxymanager.local "/api/users/me?expand=permissions" [Client 172.25.0.1] [Length 512] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/nginx/proxy"
[12/May/2023:08:35:11 +0000] - 200 200 - GET http nginxproxymanager.local "/api/" [Client 172.25.0.1] [Length 61] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/nginx/proxy"
[12/May/2023:08:35:11 +0000] - 200 200 - GET http nginxproxymanager.local "/api/users/me?expand=permissions" [Client 172.25.0.1] [Length 512] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/nginx/proxy"
[12/May/2023:08:35:42 +0000] - 200 200 - GET http nginxproxymanager.local "/api/" [Client 172.25.0.1] [Length 61] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/nginx/proxy"
[12/May/2023:08:35:42 +0000] - 200 200 - GET http nginxproxymanager.local "/api/users/me?expand=permissions" [Client 172.25.0.1] [Length 512] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/nginx/proxy"
[12/May/2023:08:36:13 +0000] - 200 200 - GET http nginxproxymanager.local "/api/" [Client 172.25.0.1] [Length 61] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/nginx/proxy"
[12/May/2023:08:36:13 +0000] - 200 200 - GET http nginxproxymanager.local "/api/users/me?expand=permissions" [Client 172.25.0.1] [Length 512] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/nginx/proxy"
[12/May/2023:08:36:44 +0000] - 200 200 - GET http nginxproxymanager.local "/api/" [Client 172.25.0.1] [Length 61] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/nginx/proxy"
[12/May/2023:08:36:44 +0000] - 200 200 - GET http nginxproxymanager.local "/api/users/me?expand=permissions" [Client 172.25.0.1] [Length 512] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/nginx/proxy"
[12/May/2023:08:37:15 +0000] - 200 200 - GET http nginxproxymanager.local "/api/" [Client 172.25.0.1] [Length 61] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/nginx/proxy"
[12/May/2023:08:37:15 +0000] - 200 200 - GET http nginxproxymanager.local "/api/users/me?expand=permissions" [Client 172.25.0.1] [Length 512] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/nginx/proxy"
[12/May/2023:08:37:46 +0000] - 200 200 - GET http nginxproxymanager.local "/api/" [Client 172.25.0.1] [Length 61] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/nginx/proxy"
[12/May/2023:08:37:46 +0000] - 200 200 - GET http nginxproxymanager.local "/api/users/me?expand=permissions" [Client 172.25.0.1] [Length 512] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/nginx/proxy"
[12/May/2023:08:38:17 +0000] - 200 200 - GET http nginxproxymanager.local "/api/" [Client 172.25.0.1] [Length 61] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/nginx/proxy"
[12/May/2023:08:38:17 +0000] - 200 200 - GET http nginxproxymanager.local "/api/users/me?expand=permissions" [Client 172.25.0.1] [Length 512] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/nginx/proxy"
[12/May/2023:08:38:48 +0000] - 200 200 - GET http nginxproxymanager.local "/api/" [Client 172.25.0.1] [Length 61] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/nginx/proxy"
[12/May/2023:08:38:48 +0000] - 200 200 - GET http nginxproxymanager.local "/api/users/me?expand=permissions" [Client 172.25.0.1] [Length 512] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/nginx/proxy"
